id,discipline,keyword,evidence,source,intent,priority,current_target,recommended_primary_target,target_status,volume,difficulty,reason
K39,Social media marketing,social media marketing consultant karnataka,candidate,F01,hire_local,P1,/seo-services#pricing-social,/social-media-marketing,proposed_not_created,unknown,unknown,Consultant and region match the business
K40,Social media marketing,instagram marketing for small businesses,candidate,F01,service,P2,/seo-services#pricing-social,/social-media-marketing,proposed_not_created,unknown,unknown,Validate platform demand and scope before claiming specialism
K41,Digital marketing,digital marketing consultant,observed,S06,hire,P1,/seo-consultant-kodagu,/digital-marketing-consultant,proposed_not_created,unknown,unknown,Create a strategy hub not a duplicate SEO page
K42,Digital marketing,digital marketing consultant near me,observed,S06,hire_local,P2,/seo-consultant-kodagu,/digital-marketing-consultant,proposed_not_created,unknown,unknown,Accurate local identity instead of fabricated offices
K43,Digital marketing,how much does digital marketing cost,observed,S10,price_question,P1,/seo-services,/digital-marketing-consultant,proposed_not_created,unknown,unknown,Separate channels and scopes rather than invent a universal fee
K44,Digital marketing,how much does digital marketing cost for a small business,observed,S10,price_question,P1,/seo-services,/digital-marketing-consultant,proposed_not_created,unknown,unknown,Explain prioritisation for a limited budget
K45,Digital marketing,digital marketing consultant india,candidate,F01,hire,P1,/seo-consultant-india,/digital-marketing-consultant,proposed_not_created,unknown,unknown,National digital strategy is distinct from national SEO
K46,Digital marketing,digital marketing consultant karnataka,candidate,F03,hire_local,P1,/seo-consultant-karnataka,/digital-marketing-consultant,proposed_not_created,unknown,unknown,Keep strong genuine regional positioning
K47,Digital marketing,digital marketing consultant asia,candidate,user_goal,hire_international,P3,/cities-we-serve,/cities-we-serve,existing,unknown,unknown,Defer dedicated Asia page until delivery evidence and buyer demand are validated
K48,Brand,Fawaz BH SEO consultant,candidate,F02,navigational,P1,/,/,existing,unknown,unknown,Homepage owns the brand entity
K49,Brand,best seo consultant in india,candidate,user_goal,compare_providers,P2,/seo-consultant-india,/seo-consultant-india,existing,unknown,unknown,Offer evaluation criteria not an unverified number-one claim
K50,Brand,best digital marketing consultant in asia,candidate,user_goal,compare_providers,P3,/cities-we-serve,/cities-we-serve,existing,unknown,unknown,Research candidate only and not an earned market position
